-50,-180,-175,-170,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180
50,-9.09690360433405,-9.62154322692614,-10.1447413529609,-10.674961704121,-11.2377298112907,-11.8459401671286,-12.4523752877255,-12.900827005598,-12.9490737594524,-12.4570818118383,-11.562164525652,-10.5557790129875,-9.67428031390059,-9.04697497391414,-8.73258137697534,-8.75621407387876,-9.12890791383357,-9.85327623294687,-10.9156616516506,-12.2541003170331,-13.6789155037927,-14.7695865685702,-15.0238698842331,-14.4135863577417,-13.4020139024846,-12.3891432122031,-11.5486652990305,-10.9300571891622,-10.5400121418753,-10.3757358663856,-10.4351183651003,-10.7180396650177,-11.2237744144158,-11.9447614423484,-12.8540639649806,-13.8826059124914,-14.8900485722412,-15.6673450879751,-16.0427713025562,-16.0423159026802,-15.8836956306871,-15.8156129902052,-16.0217535930118,-16.6241327744498,-17.7077614416169,-19.3045983625783,-21.2242499619196,-22.56279916714,-22.0778467845365,-20.4036622703074,-18.7836310628774,-17.6203371941437,-16.9164567177829,-16.5708928980157,-16.4400563156554,-16.3428050361911,-16.0835816144754,-15.5222071791354,-14.6435764227044,-13.5447799782987,-12.3585507412112,-11.1967454561284,-10.1367897070988,-9.22790101123029,-8.49952653045249,-7.96727842518031,-7.63644901412579,-7.50375537735787,-7.55771640451528,-7.77803174602503,-8.13474077231626,-8.58883606057812,-9.09690360433405
55,-11.2747076319594,-11.740338682487,-12.1100024294617,-12.4701490119519,-12.9596767883683,-13.7170052381767,-14.8217829242481,-16.1511253304569,-17.0267037505883,-16.400302189619,-14.5453256894856,-12.566991621599,-10.9808388159027,-9.88847860236716,-9.27965468458675,-9.1294679537547,-9.42048096997465,-10.1446783970212,-11.2965633084556,-12.8497677042443,-14.6859679812853,-16.4280707869241,-17.3579228339426,-17.0913926346893,-16.1487518665959,-15.1439005573188,-14.3371006196661,-13.7932967443535,-13.5236610368109,-13.537421469573,-13.8564057144264,-14.5196612184559,-15.5878785727925,-17.1479275484361,-19.2950785158935,-21.9373430668574,-23.8353349754326,-22.8202370149045,-20.3966917177213,-18.3672603830371,-17.0363556890129,-16.3750796793151,-16.3627354758268,-17.0453912501311,-18.5794352955778,-21.3645446001251,-26.6177672251633,-37.9762453885061,-27.3835922566642,-21.8767589647783,-19.0220784167656,-17.4336485255385,-16.6365723069235,-16.3886397777229,-16.5102736267076,-16.8139945862508,-17.0733756818087,-17.0478060217883,-16.5791898249267,-15.6805576680625,-14.5043718142242,-13.2361561971107,-12.0252225287284,-10.970569407579,-10.1304444774836,-9.5349867094359,-9.19555105700309,-9.10968775933882,-9.26189214025485,-9.62037338613663,-10.1310818556157,-10.7141283000661,-11.2747076319594
60,-13.0281329323654,-13.0422776675371,-12.8539141992634,-12.7084125125424,-12.8425065103978,-13.4567545991405,-14.7619992928594,-17.0454467597774,-20.5003133025924,-22.2736517468362,-18.5341658362558,-14.81248047092,-12.2944801940904,-10.6978717142859,-9.8099664498748,-9.51497989536642,-9.75510440938338,-10.5084989779843,-11.7767666727166,-13.5698151911904,-15.8586940721711,-18.4036385181452,-20.3721751978881,-20.7225866738499,-19.8981732015677,-18.931339832564,-18.2256227612629,-17.8459651249583,-17.8018105264168,-18.1334079442023,-18.9374428968909,-20.4028623225839,-22.9346691246992,-27.7122781855622,-43.5403542658985,-29.6125899838075,-22.715733819783,-18.9763328132637,-16.5604798738892,-14.9535644552045,-13.9528554197122,-13.4740973256184,-13.493490161208,-14.0266360856315,-15.1173301736958,-16.8084785852914,-18.9910263346297,-20.8347923857837,-20.7094552122909,-19.0648278523809,-17.482847836916,-16.4822119020021,-16.0837718089661,-16.2095187625534,-16.7545416250258,-17.5726504207048,-18.4421382764658,-19.0535848725496,-19.0897384117766,-18.4117846838986,-17.1658750638628,-15.6567122266064,-14.1609034726795,-12.8551447235507,-11.8312605407914,-11.1289639497863,-10.7591152321932,-10.7144515548594,-10.9691595200954,-11.4669660509642,-12.0985309618964,-12.6857418556952,-13.0281329323654
65,-13.8141515912045,-13.1585243424504,-12.3910673240658,-11.828312466082,-11.6677371576146,-12.053375929046,-13.1612206559752,-15.3228469644602,-19.3935859431169,-28.5283714076031,-24.0793362283218,-17.0226240804281,-13.4363201462028,-11.3726871078742,-10.2570843663301,-9.86105536619853,-10.086204747688,-10.9003795591167,-12.3167544796704,-14.3886685124649,-17.202687806205,-20.7957779751156,-24.5841343369973,-26.2284421153467,-25.4381372770447,-24.5845167467506,-24.3324372398695,-24.6094031107693,-25.3556643365635,-26.7284280075531,-29.2558491777447,-34.1632802652546,-35.5905611595661,-27.8157850892511,-22.7207728409605,-19.2191640134936,-16.6357910703663,-14.6777036993655,-13.2014169133134,-12.1335718752403,-11.4393897919901,-11.1078121516469,-11.1428300890896,-11.5556131484185,-12.350902697775,-13.4935782168455,-14.8290676599887,-15.9701913451436,-16.4180302481577,-16.1359326917144,-15.6225153112459,-15.3282300590944,-15.4596589840015,-16.0769228383015,-17.1631061953594,-18.6192784154977,-20.1988322084029,-21.4429183225605,-21.8240213075789,-21.140728990511,-19.645797590168,-17.7875331326346,-15.9545240040229,-14.3816099334009,-13.1773957140281,-12.3795376267313,-11.9917221252248,-11.9980470833776,-12.3571075898695,-12.9714854081477,-13.6320851790351,-14.0026142275923,-13.8141515912045
70,-13.8574834160276,-12.7471447656299,-11.6736496965809,-10.9144836796091,-10.6053849178668,-10.842765673803,-11.7572169444253,-13.6027260492699,-17.0071506490376,-24.4001014515676,-30.2284104718083,-18.6640717789589,-14.221698471088,-11.8306979547941,-10.5711951790539,-10.1270789574512,-10.3734707685272,-11.2772677465252,-12.872570799585,-15.2723125157053,-18.7284904245252,-23.8264620462493,-31.9230114644341,-34.4697830773387,-30.0304279707187,-28.7967122313797,-29.3969956360264,-30.8756994603522,-31.756969692628,-30.6845085224553,-28.3359898453043,-25.6064055405422,-22.8240572254331,-20.1825272453848,-17.8070395966884,-15.7468171438075,-14.0042990047364,-12.5650237054697,-11.4143644327835,-10.5443484136,-9.95509401894404,-9.65342093907544,-9.64941603318351,-9.95007884970551,-10.5469743544282,-11.3923044684892,-12.3611449833006,-13.2302004215132,-13.769203630521,-13.9537151779863,-14.015976578836,-14.2497326627053,-14.8689869852353,-16.004314872553,-17.7244490920721,-19.9812016527163,-22.3238827965425,-23.5352940721587,-22.9444536520755,-21.471962303842,-19.7684929222819,-17.9830051245079,-16.2497211239614,-14.7394203626421,-13.5776321303294,-12.8271030771189,-12.508052379495,-12.6123238058474,-13.0931321419182,-13.8137443279035,-14.4547725383917,-14.5395704341162,-13.8574834160276
75,-13.840526712805,-12.5237401282562,-11.303167010232,-10.4394355550035,-10.0417804589094,-10.1847393421906,-10.9740696783364,-12.6139208312085,-15.5664010762448,-21.1376275038403,-27.6995714757466,-19.165849773097,-14.5231671214279,-12.0210536314828,-10.719684832763,-10.2830228604865,-10.5832972345193,-11.5987701511183,-13.3966460632316,-16.1753518356731,-20.4497256097507,-28.059453721845,-44.4937596508424,-28.1642449586544,-24.4352790716088,-22.9192524791478,-22.2153695248859,-21.727949890111,-21.2194233869344,-20.6782673140004,-20.1206093970113,-19.4629696416758,-18.5586978699437,-17.3419363926616,-15.903418799971,-14.4083592211553,-12.9924590911952,-11.7346536859895,-10.6747733289523,-9.83442402642268,-9.22905548735658,-8.87227411909732,-8.77495254362041,-8.94016733000339,-9.35335161401058,-9.96694776033983,-10.6846717425115,-11.3683326663411,-11.9022868347496,-12.2922392670646,-12.6872933738121,-13.2999463673172,-14.3342647541018,-15.978761811386,-18.4237484052832,-21.7283171623617,-24.565349908526,-23.6436381677433,-21.0942659764547,-19.0389828258494,-17.4630869716075,-16.1021879444356,-14.8416210490702,-13.7242101843902,-12.8536563585226,-12.3188512695564,-12.1730874786974,-12.435261345456,-13.0766540466036,-13.9582030816858,-14.7032551896132,-14.7284900905955,-13.840526712805
80,-14.2425850572566,-12.8514802431657,-11.5135920003274,-10.5452597106291,-10.0602674997251,-10.1247453580967,-10.831122211153,-12.3565508082673,-15.0727767716158,-19.7473062482824,-23.9022521548246,-18.5053405366083,-14.3128301319267,-11.9238324519901,-10.6836286034092,-10.3073671750888,-10.68870010916,-11.8291041159066,-13.8407370315199,-17.039792843792,-22.3781990335856,-35.613074367992,-29.2718245036869,-22.7488802439632,-19.9761494073351,-18.4854997474249,-17.5672404800299,-16.9335272189079,-16.4947411062023,-16.2491958026803,-16.1942154244039,-16.2643537770788,-16.2987231089348,-16.0684630342906,-15.4110964659731,-14.367327668254,-13.1282742233812,-11.8833563398216,-10.753756999967,-9.8043948718855,-9.06964331405092,-8.56892638735764,-8.31203018186348,-8.29765664544939,-8.50757778986696,-8.89889275503295,-9.40092418307553,-9.93014084371223,-10.4327667839843,-10.9338260150382,-11.5475958323124,-12.4458224326894,-13.8325432853506,-15.965887261322,-19.2372623814657,-24.0102793487885,-25.8930296970545,-21.6698440824317,-18.3877838759258,-16.2865000356682,-14.8423610157953,-13.7311984058272,-12.7968459447136,-12.0157180347471,-11.4416069044913,-11.1485629965479,-11.199294991375,-11.634582584894,-12.4588698724755,-13.5821225974986,-14.6649447731757,-15.0197464524851,-14.2425850572566
85,-15.3406379738642,-14.0059205018879,-12.5033216143568,-11.362077081265,-10.74307823877,-10.7104692028797,-11.3452968235303,-12.8040660022373,-15.3808961674124,-19.3255857835651,-21.117251638209,-17.0963753911037,-13.6429979153539,-11.5418422124198,-10.4535458436127,-10.1849740289866,-10.6691358400698,-11.9395546372962,-14.1617052972849,-17.7995811632387,-24.5098128186053,-44.9022965284585,-24.1730940405942,-19.3873489317866,-16.9296436305933,-15.4389519375139,-14.4548448763181,-13.7963548674682,-13.4123000366881,-13.3080296625938,-13.4988629878098,-13.9783491906593,-14.6819226133148,-15.4232870846534,-15.8356112420051,-15.5235550768252,-14.4719771933889,-13.0529501325201,-11.6208441315526,-10.3581637833193,-9.3352572550425,-8.57366823229172,-8.07459360013192,-7.82696223355912,-7.80705774838579,-7.97657844610407,-8.2853853568235,-8.68543746755644,-9.15669789808127,-9.73253952052724,-10.5079089525972,-11.6331396963983,-13.3212762909622,-15.9144415173532,-20.1195358683717,-27.1531792263359,-25.0414656831906,-19.2489535302281,-15.9723030388633,-13.9345514931463,-12.5552319786468,-11.5457529246007,-10.7650478241418,-10.1722869995649,-9.79048077165606,-9.67099618188021,-9.86988889733134,-10.437894194607,-11.4128005257384,-12.7866035752118,-14.3762388993297,-15.5322212005962,-15.3406379738642
90,-17.22214164948,-16.4929250151212,-14.7204576920617,-13.2053429784291,-12.3088823202179,-12.0946554875556,-12.6144872813556,-13.9770735011517,-16.2994954584762,-18.9378995324715,-18.4561649077273,-15.2736032044312,-12.6002860609125,-10.8934258538986,-10.0274672374311,-9.90633669253015,-10.5108146041264,-11.9111419882579,-14.3294353453317,-18.3952392580398,-26.7838217932193,-31.6420247426491,-20.9927214812945,-16.9093948157556,-14.5823246224493,-13.0779129438387,-12.0563093620606,-11.383726250635,-11.0220978214238,-10.978622669272,-11.2804786222744,-11.9652012776261,-13.0770714823074,-14.6468151318461,-16.5674833735596,-18.1211058658759,-17.7886070929513,-15.7006168482607,-13.3574700184706,-11.3732989978073,-9.8212779485526,-8.66162713128832,-7.84599733852121,-7.33166823263545,-7.07878222532281,-7.04721345351815,-7.19818357431786,-7.50293653680306,-7.95720526918157,-8.59561260418391,-9.50070941928478,-10.8115987320119,-12.7549635287009,-15.7634953261573,-20.9808105948842,-31.9223461764352,-22.8238530069384,-17.0489678426853,-13.9198551601823,-11.9383961065739,-10.5824072153363,-9.60548538913451,-8.88689982656309,-8.38396474488434,-8.10384768143549,-8.08037635434672,-8.35867589379944,-8.98949136566453,-10.0300325174383,-11.5417587581177,-13.5499450870123,-15.8181235152802,-17.22214164948
95,-18.4600847720869,-21.3589924457822,-19.7307265670901,-17.0276542046064,-15.3107921960468,-14.5907434364215,-14.7511813997997,-15.6907063357011,-17.0164782541587,-17.350016691754,-15.6222990397482,-13.2246822478084,-11.2781737251222,-10.0095870020554,-9.41181242086648,-9.4686608509511,-10.2078386046516,-11.7369513666876,-14.3340195026494,-18.7965096530493,-28.9715647480351,-26.5729948926619,-18.5874203738456,-14.8710041329697,-12.6065191631311,-11.0850086288672,-10.0342434748049,-9.34323395507587,-8.97658491645729,-8.9374268767816,-9.25203405205778,-9.96967116604243,-11.1780939338852,-13.0462503862214,-15.941393575625,-20.8003744368984,-27.649416210833,-21.0408349993821,-15.6402388487068,-12.3217776654461,-10.0672342157566,-8.47670464735378,-7.36258283947343,-6.62130350129915,-6.18662654190237,-6.01088366320967,-6.05919038377118,-6.31163678428214,-6.77046971364269,-7.4692646853642,-8.48307400727142,-9.9456967498646,-12.0979249411149,-15.4562893732438,-21.6636193623047,-38.123428051898,-20.4799158967586,-15.1222193259508,-12.1306310796155,-10.1844114097049,-8.82924453372652,-7.85301033936996,-7.15113791414644,-6.68192402021001,-6.44296279610941,-6.45459858674813,-6.74970353410985,-7.37067111995082,-8.3735983334733,-9.83993345942834,-11.8968391446459,-14.7363373424364,-18.4600847720869
