 0.1738000000000000E+04, 0.4902800305555400E+04, 0.1096570000000000E-04,  660,  660,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
   13,    8,-0.2922776325023000E-06,-0.1210514271148000E-05, 0.5248197009324000E-12, 0.5200175332513000E-12             
   13,    9,-0.1699705071372000E-06, 0.5274947423052000E-06, 0.5369422486407000E-12, 0.5185066336156000E-12             
   13,   10,-0.6742717159595000E-06, 0.4529009714361000E-06, 0.6242731648443000E-12, 0.6350377639667000E-12             
   13,   11,-0.1305695908748000E-05, 0.4390732865396000E-06, 0.1687343192464000E-11, 0.1637147034066000E-11             
   13,   12,-0.5743847490727000E-06,-0.1522325343063000E-05, 0.5818982929455000E-12, 0.5634507459602000E-12             
   13,   13, 0.2499334761591000E-05,-0.2668768558392000E-05, 0.5196179892330000E-11, 0.5213040318816000E-11             
   14,    0, 0.4922507447013000E-06, 0.0000000000000000E+00, 0.6841659849951000E-13, 0.0000000000000000E+00             
   14,    1, 0.5654276477338000E-06,-0.6821058741842000E-06, 0.6949834653942000E-13, 0.7380574096466000E-13             
   14,    2, 0.3644203475704000E-06, 0.3552073182253000E-06, 0.5958477624971000E-13, 0.7482307545811000E-13             
   14,    3, 0.5578943171645000E-06, 0.1680036128369000E-06, 0.1344882287280000E-12, 0.1058893829558000E-12             
   14,    4,-0.3905321896158000E-06,-0.2582059971374000E-05, 0.2105175864441000E-12, 0.1988283011061000E-12             
   14,    5,-0.7823967532633000E-06,-0.2160140139404000E-06, 0.1166682918763000E-12, 0.1390373473856000E-12             
   14,    6,-0.6096136837596000E-06, 0.1862282569529000E-05, 0.4886895630302000E-12, 0.4879662628251000E-12             
   14,    7,-0.5154260410017000E-06, 0.1161519497675000E-05, 0.1655042096903000E-12, 0.1324746320010000E-12             
   14,    8, 0.3061485724047000E-06, 0.4414623227254000E-06, 0.6445745951083000E-12, 0.6521413029776000E-12             
   14,    9, 0.8049178441108001E-07,-0.1638053532925000E-05, 0.2127318664032000E-12, 0.2046756201111000E-12             
   14,   10,-0.7782039831192001E-06, 0.5930135950126000E-06, 0.6763018770452000E-12, 0.6991897872385000E-12             
   14,   11,-0.1928489155244000E-05, 0.1937232469339000E-05, 0.3614108665269000E-12, 0.3717010467329000E-12             
