"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainRHCP) []"
2.2,0,272,-13.8713871700964
2.2,0,274,-12.5195725353111
2.2,0,276,-11.1141923177404
2.2,0,278,-9.72202170078137
2.2,0,280,-8.37629913087942
2.2,0,282,-7.09199286407868
2.2,0,284,-5.87531981987048
2.2,0,286,-4.72880812643382
2.2,0,288,-3.65378106814057
2.2,0,290,-2.65150025839649
2.2,0,292,-1.72364367021476
2.2,0,294,-0.872459722764339
2.2,0,296,-0.100759573541014
2.2,0,298,0.588185198163306
2.2,0,300,1.19082662983942
2.2,0,302,1.70363101519078
2.2,0,304,2.12353611513742
2.2,0,306,2.44867542767587
2.2,0,308,2.67951729747009
2.2,0,310,2.82060509053631
2.2,0,312,2.8830534643983
2.2,0,314,2.88769580175032
2.2,0,316,2.86799429005439
2.2,0,318,2.87029129088116
2.2,0,320,2.94746598265081
2.2,0,322,3.1435960475978
2.2,0,324,3.47481239411832
2.2,0,326,3.9195861724525
2.2,0,328,4.42705017012824
2.2,0,330,4.93659852715854
2.2,0,332,5.39533901313614
2.2,0,334,5.76707795494904
2.2,0,336,6.03467285992452
2.2,0,338,6.19956336341945
2.2,0,340,6.2803770197938
2.2,0,342,6.3099789685095
2.2,0,344,6.32879599250449
2.2,0,346,6.37317688280764
2.2,0,348,6.46189441114124
2.2,0,350,6.58843838350688
2.2,0,352,6.72483229140347
2.2,0,354,6.83437070850428
2.2,0,356,6.88532187472535
2.2,0,358,6.86006305889606
2.2,0,360,6.75899446887662
